Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of Absorption		1	0	1	26	34	19				1	1	red-dmg		3	3											amul	circ													0
of Life		1	0	1	35	44	26				1	1	red-dmg		4	4									1	dblu	amul	circ													0
of Life Everlasting		100	0		45		37				1	1	red-dmg		25	25											amul	circ													0
of Protection		1	0	1	24	31	18				1	1	red-dmg		2	2											tors	shld	circ												0
of Absorption		1	0	1	32	40	24				1	1	red-dmg		3	3											tors	shld	circ												0
of Life		1	0	1	41	50	33				1	1	red-dmg		7	7											tors	shld	circ												0
of Anima		100	0		51		43				1	1	red-dmg		15	15											tors	shld	circ												0
of Warding		1	0	1	7		5				1	2	red-mag		1	1											tors	shld	ring	amul	orb	circ									0
of the Sentinel		1	0	1	18		12				1	2	red-mag		2	2											ring	amul	orb	circ											0
of Guarding		1	0	1	26	41	19				1	2	red-mag		3	3											amul	orb	circ												0
of Negation		100	0		42		35				1	2	red-mag		6	6											amul	orb	circ												0
of the Sentinel		1	0	1	24	31	18				1	2	red-mag		2	2											tors	shld	circ												0
of Guarding		1	0	1	32	40	24				1	2	red-mag		3	3											tors	shld	circ												0
of Negation		100	0		41		33				1	2	red-mag		6	6											tors	shld	circ												0
of Coolness		100		1	11	18	8				1	3	abs-fire		2	2											tors	shld	boot	circ											0
of Incombustibility		100		1	19	27	14				1	3	abs-fire		3	3											tors	shld	boot	circ											0
of Amianthus		100		1	28	37	21				1	3	abs-fire		5	5											tors	shld	boot	circ											0
of Fire Quenching		100			38		30				1	3	abs-fire		8	8											tors	shld	boot	circ											0
of Coolness		100		1	13		9				1	3	abs-fire		2	2											ring	amul	orb	circ											0
of Incombustibility		100		1	22	32	16				1	3	abs-fire		3	3											amul	orb	circ												0
of Amianthus		100		1	33	45	25				1	3	abs-fire		5	5											amul	orb	circ												0
of Fire Quenching		100			46		38				1	3	abs-fire		8	8											amul	orb	circ												0
of Faith		100		1	23		17				1	3	abs-fire		2	2											jewl														0
of Resistance		100		1	11	18	8				1	3	abs-ltng		2	2											tors	shld	boot	circ											0
of Insulation		100		1	19	27	14				1	3	abs-ltng		3	3											tors	shld	boot	circ											0
of Grounding		100		1	28	37	21				1	3	abs-ltng		5	5											tors	shld	boot	circ											0
of the Dynamo		100			38		30				1	3	abs-ltng		8	8											tors	shld	boot	circ											0
of Resistance		100		1	13		9				1	3	abs-ltng		2	2											ring	amul	orb	circ											0
of Insulation		100		1	22	32	16				1	3	abs-ltng		3	3											amul	orb	circ												0
of Grounding		100		1	33	45	25				1	3	abs-ltng		5	5											amul	orb	circ												0
of the Dynamo		100			46		38				1	3	abs-ltng		8	8											amul	orb	circ												0
of Stoicism		100		1	22		16				1	3	abs-ltng		2	2											jewl														0
of Warming		100		1	11	18	8				1	3	abs-cold		2	2											tors	shld	boot	circ											0
of Thawing		100		1	19	27	14				1	3	abs-cold		3	3											tors	shld	boot	circ											0
of the Dunes		100		1	28	37	21				1	3	abs-cold		5	5											tors	shld	boot	circ											0
of the Sirocco		100			38		30				1	3	abs-cold		8	8											tors	shld	boot	circ											0
of Warming		100		1	13		9				1	3	abs-cold		2	2											ring	amul	orb	circ											0
of Thawing		100		1	22	32	16				1	3	abs-cold		3	3											amul	orb	circ												0
of the Dunes		100		1	33	45	25				1	3	abs-cold		5	5											amul	orb	circ												0
of the Sirocco		100			46		38				1	3	abs-cold		8	8											amul	orb	circ												0
of Desire		100		1	23		17				1	3	abs-cold		2	2											jewl														0
of Piercing		1	0	1	25		18				1	4	ignore-ac		1	1											rod	knif	h2h												0
of Bashing		100		1	16		12				1	5	dmg-ac		-40	-40											blun							wand	staf	orb					0
of Puncturing		100		1	6		4				1	5	dmg-ac		-20	-20											spea	knif	h2h												0
of Thorns		1	0	1	14	20	10				1	6	thorns		3	3											tors	shld	belt	circ											0
of Spikes		1	0	1	21		15				1	6	thorns		6	6									1	oran	tors	shld	belt	circ											0
of Razors		100	0	1	34	46	26				1	6	thorns		9	9									1	oran	tors	shld	circ												0
of Swords		100	0		47		39				1	6	thorns		20	20									1	oran	tors	shld	circ												0
of Malice		100	0	1	37		29				1	6	thorns		5	5											jewl														0
of Readiness		1	1	1	5	24	3				1	7	swing1		10	10											weap							wand	orb						0
of Alacrity		1	1	1	25		17				1	7	swing2		20	20											weap							wand	orb						0
of Swiftness		1	1	1	34	45	26				1	7	swing2		30	30											mele							wand	staf	orb					0
of Quickness		1	1	1	46		38				1	7	swing3		40	40									1	dyel	mele							wand	staf	orb					0
of Alacrity		100	1	1	43		35				1	7	swing2		20	20									1	dyel	glov														0
of Fervor		100	1		39		31				1	7	swing1		15	15											jewl														0
of Blocking		1	1	1	1	10	1				1	8	block		10	10	block2		15	15							shld														0
of Deflecting		1	1	1	11		8				1	8	block		20	20	block2		30	30							shld														0
of the Apprentice		1	1	1	5		3				1	9	cast1		10	10											rod	ring	amul	orb	circ										0
of the Magus		1	1	1	29		21				1	9	cast3		20	20											rod	orb	circ					scep							0
of Frost		1	0	1	4	12	3				1	10	cold-min		1	1	cold-max		2	2	cold-len		50	50			weap							wand	orb						0
of the Icicle		100	0	1	13	26	9				1	10	cold-min		1	1	cold-max		4	4	cold-len		75	75			weap							wand	orb						0
of the Glacier		1	0	1	27		20				1	10	cold-min		4	4	cold-max		15	15	cold-len		100	100	1	dblu	weap							wand	orb						0
of Winter		100	0	1	45		37				1	10	cold-min		9	9	cold-max		50	50	cold-len		150	150	1	dblu	mele							wand	orb						0
of Frost		1	0	1	55		41				1	10	cold-min		1	1	cold-max		6	6	cold-len		50	50			belt	amul													0
of Frigidity		100	0	1	16		12				1	10	cold-min		1	1	cold-max		5	5	cold-len		50	50	1	dblu	jewl														0
of Warmth		1	0	1	10		7				1	11	half-freeze		1	1											shld	boot	glov	ring	amul	circ	orb								0
of Flame		1	0	1	4	14	3				1	12	fire-min		1	1	fire-max		5	5							weap							wand	orb						0
of Fire		1	0	1	15	24	11				1	12	fire-min		4	4	fire-max		11	11							weap							wand	orb						0
of Burning		1	0	1	25		18				1	12	fire-min		9	9	fire-max		20	20					1	dred	weap							wand	orb						0
of Incineration		100	0	1	43		35				1	12	fire-min		20	20	fire-max		75	75					1	dred	mele							wand	orb						0
of Flame		100	0	1	40		30				1	12	fire-min		1	1	fire-max		6	6							glov	ring	amul												0
of Passion		100	0	1	15		11				1	12	fire-min		3	3	fire-max		10	10					1	dred	jewl														0
of Shock		1	0	1	4	14	3				1	13	ltng-min		1	1	ltng-max		8	8							weap							wand	orb						0
of Lightning		1	0	1	15	24	11				1	13	ltng-min		1	1	ltng-max		16	16							weap							wand	orb						0
of Thunder		1	0	1	25		18				1	13	ltng-min		1	1	ltng-max		40	40					1	dyel	weap							wand	orb						0
of Storms		100	0	1	34		26				1	13	ltng-min		6	6	ltng-max		120	120					1	dyel	mele							wand	orb						0
of Shock		100	0	1	50		37				1	13	ltng-min		1	1	ltng-max		23	23							boot	ring	amul												0
of Ennui		100	0	1	15		11				1	13	ltng-min		1	1	ltng-max		20	20					1	dyel	jewl														0
of Craftsmanship		1	1	1	1		1				1	14	dmg-max		1	1											weap	ring	amul					wand	staf	orb					0
of Quality		1	1	1	4	6	3				1	14	dmg-max		2	2											weap							wand	staf	orb					0
of Maiming		1	1	1	7	10	5				1	14	dmg-max		4	4											weap							wand	staf	orb					0
of Slaying		1	1	1	11	13	8				1	14	dmg-max		7	7											weap							wand	staf	orb					0
of Gore		1	1	1	14	18	10				1	14	dmg-max		10	10											weap							wand	staf	orb					0
of Carnage		1	1	1	19	24	14				1	14	dmg-max		14	14									1	blac	weap							wand	staf	orb					0
of Slaughter		1	1	1	25	34	18				1	14	dmg-max		20	20									1	blac	weap							wand	staf	orb					0
of Butchery		100	1		35	44	27				1	14	dmg-max		40	40									1	blac	weap							wand	staf	orb					0
of Evisceration		100	1		45		37				1	14	dmg-max		63	63									1	blac	weap							wand	staf	orb					0
of Maiming		1	1	1	42		34				1	14	dmg-max		4	4											shld	ring	amul												0
of Craftsmanship		100	1	1	1	7	1				1	14	dmg-max		2	2											circ														0
of Craftsmanship		100	1	1	8	14	6				1	14	dmg-max		3	3											circ														0
of Craftsmanship		100	1	1	15	22	11				1	14	dmg-max		5	5											circ														0
of Quality		100	1	1	23	29	17				1	14	dmg-max		7	7											circ														0
of Quality		100	1	1	30	36	22				1	14	dmg-max		8	8											circ														0
of Maiming		100	1		37	44	29				1	14	dmg-max		10	10											circ														0
of Maiming		100	1		45		37				1	14	dmg-max		12	12											circ														0
of Craftsmanship		100	0	1	8	17	6				1	14	dmg-max		1	1											mcha														0
of Craftsmanship		100	0	1	18	27	13				1	14	dmg-max		2	2											mcha														0
of Quality		100	0	1	28	37	21				1	14	dmg-max		4	4											mcha														0
of Quality		100	0	1	38	47	30				1	14	dmg-max		6	6											mcha														0
of Maiming		100	0		48		40				1	14	dmg-max		8	8											mcha														0
of Craftsmanship		100	0	1	21	35	15				1	14	dmg-max		1	1											scha														0
of Quality		100	0	1	36	50	28				1	14	dmg-max		2	2											scha														0
of Maiming		100	0		51		43				1	14	dmg-max		4	4											scha														0
of Ire		100	1	1	4	10	3				1	14	dmg-max		5	5											jewl														0
of Wrath		100	1	1	11	24	8				1	14	dmg-max		9	9									1	blac	jewl														0
of Carnage		100	1		25		18				1	14	dmg-max		15	15									1	blac	jewl														0
of Worth		1	1	1	1	11	1				1	15	dmg-min		2	2											weap							staf	wand	orb					0
of Measure		1	1	1	12	23	9				1	15	dmg-min		4	4											weap							staf	wand	orb					0
of Excellence		1	1	1	24	47	18				1	15	dmg-min		8	8											weap							staf	wand	orb					0
of Performance		1	1	1	48	75	40				1	15	dmg-min		14	14									1	blac	weap							staf	wand	orb					0
of Transcendence		100	1	1	76		68				1	15	dmg-min		20	20									1	blac	weap							staf	wand	orb					0
of Worth		1	1	1	15	36	11				1	15	dmg-min		3	3											ring	amul	circ												0
of Measure		1	1	1	37	58	29				1	15	dmg-min		5	5											ring	amul	circ												0
of Excellence		1	1	1	59	80	51				1	15	dmg-min		9	9											ring	amul	circ												0
of Performance		100	1		81		73				1	15	dmg-min		13	13											ring	amul	circ												0
of Joyfulness		100	1	1	5	42	3				1	15	dmg-min		4	4									1	whit	jewl														0
of Bliss		100	1	1	43		37				1	15	dmg-min		10	10									1	whit	jewl														0
of Blight		1	0	1	5	14	3				1	16	dmg-pois	75	24	24											weap	circ						rod	orb						0
of Venom		1	0	1	15	24	11				1	16	dmg-pois	100	54	54											weap	circ						rod	orb						0
of Pestilence		1	0	1	25		18				1	16	dmg-pois	125	103	103									1	dgrn	weap	circ						rod	orb						0
of Anthrax		100	0	1	33		25				1	16	dmg-pois	150	171	171									1	dgrn	weap							rod	orb						0
of Blight		100	0	1	45		33				1	16	dmg-pois	75	171	171											ring	amul													0
of Envy		100	0	1	1		1				1	16	dmg-pois	50	103	103									1	dgrn	jewl														0
of Dexterity		1	0	1	1	10	1				1	17	dex		2	2											amul	miss	circ												0
of Skill		1	0	1	11	26	8				1	17	dex		5	5											amul	miss	circ												0
of Accuracy		1	0	1	27	42	20				1	17	dex		9	9											amul	miss	circ												0
of Precision		1	0	1	43	58	35				1	17	dex		15	15											amul	miss	circ												0
of Perfection		1	0	1	59	71	51				1	17	dex		20	20									1	dgld	amul	miss	circ												0
of Nirvana		100	0		72		64				1	17	dex		30	30									1	dgld	amul	miss	circ												0
of Dexterity		1	0	1	6	21	4				1	17	dex		2	2											ring	glov													0
of Skill		1	0	1	22	38	16				1	17	dex		5	5											ring	glov													0
of Accuracy		1	0	1	39	55	31				1	17	dex		9	9											ring	glov													0
of Precision		1	0	1	56	74	48				1	17	dex		15	15											ring	glov													0
of Perfection		100	0		75		67				1	17	dex		20	20									1	dgld	ring	glov													0
of Dexterity		1	0	1	13	33	9				1	17	dex		3	3											tors	boot						glov							0
of Skill		1	0	1	34	45	26				1	17	dex		5	5											tors	boot						glov							0
of Accuracy		1	0	1	46	59	38				1	17	dex		9	9											tors	boot						glov							0
of Precision		100	0		60		52				1	17	dex		15	15									1	dgld	tors	boot						glov							0
of Dexterity		100	0	1	1		1				1	31	dex		4	4											lcha														0
of Dexterity		100	0	1	3		2				1	31	dex		3	3											mcha														0
of Dexterity		100	0	1	7		5				1	31	dex		1	1											scha														0
of Dexterity		100	0	1	14		10				1	31	dex		6	6											lcha														0
of Dexterity		100	0	1	18		13				1	31	dex		5	5											mcha														0
of Dexterity		100	0	1	22		16				1	31	dex		2	2											scha														0
of Daring		100	0	1	7		5				1	17	dex		3	3											jewl														0
of Balance		1	1	1	5		3				1	18	balance1		10	10											armo							glov							0
of Equilibrium		1	1	1	9		6				1	18	balance2		17	17											tors	belt	shld												0
of Stability		1	1	1	18		13				1	18	balance3		24	24									1	dyel	tors	belt													0
of Balance		100	1	1	1		1				1	18	balance3		12	12											lcha														0
of Balance		100	1	1	19		14				1	18	balance2		8	8											mcha														0
of Balance		100	1	1	37		29				1	18	balance1		5	5									1	dyel	scha														0
of Truth		100	1	1	44		36				1	18	balance1		7	7											jewl														0
of Regeneration		1	0	1	10		7				1	19	regen		5	5											scep	belt	ring	amul	circ										0
of Regeneration		1	0	1	40		30				1	19	regen		5	5											shld	glov													0
of Regeneration		1	0	1	70		52				1	19	regen		5	5											tors	weap	boot					scep							0
of Regrowth		1	0	1	17		12				1	19	regen		10	10									1	cred	scep	amul	circ												0
of Regrowth		1	0	1	55		41				1	19	regen		9	9									1	cred	belt	ring													0
of Revivification		100	0		38		30				1	19	regen		15	15									1	cred	scep	amul	circ												0
of Honor		100	0	1	47		35				1	19	regen		4	4											jewl														0
of Vileness		1	0	1	9		6				1	20	noheal		1	1											mele							rod	orb						0
of Greed		1	0	1	1		1				1	21	gold%		40	40											ring	amul	circ												0
of Wealth		1	0	1	17		12				1	21	gold%		80	80									1	lgld	boot	glov	belt	amul	circ										0
of Greed		100	0	1	1	6	1				1	21	gold%		20	20											lcha														0
of Greed		100	0	1	7	18	5				1	21	gold%		30	30											lcha														0
of Greed		100	0	1	19		14				1	21	gold%		40	40											lcha														0
of Greed		100	0	1	1	19	5				1	21	gold%		10	10											mcha														0
of Greed		100	0	1	20		15				1	21	gold%		22	22											mcha														0
of Greed		100	0	1	1		15				1	21	gold%		10	10											scha														0
of Avarice		100	0	1	1		1				1	21	gold%		30	30											jewl														0
of Chance		1	1	1	12		9				1	22	mag%		15	15											boot	glov	ring	amul	circ										0
of Fortune		1	1	1	16		12				1	22	mag%		25	25									1	lgld	boot	glov	amul	circ											0
of Fortune		1	1		42		31				1	22	mag%		25	25									1	lgld	ring														0
of Luck		100	1		26		19				1	22	mag%		35	35									1	lgld	boot	amul	circ												0
of Fortune		100	1	1	31	46	18				1	22	mag%		5	5											scha														0
of Good Luck		100	1		47		33				1	22	mag%		7	7											scha														0
of Prosperity		100	1	1	26		19				1	22	mag%		10	10											jewl														0
of Energy		1	0	1	1	6	1				1	23	enr		3	3											amul	orb	circ	wand	staf										0
of the Mind		1	0	1	7	12	3				1	23	enr		6	6											amul	orb	circ	wand	staf										0
of Brilliance		1	0	1	13	20	9				1	23	enr		10	10											amul	orb	circ	wand	staf										0
of Sorcery		1	0	1	21	30	16				1	23	enr		15	15											amul	orb	circ	wand	staf										0
of Wizardry		1	0	1	31	40	23				1	23	enr		20	20									1	dgld	amul	orb	circ	wand	staf										0
of Enlightenment		100	0		41		33				1	23	enr		30	30									1	dgld	amul	orb	circ	wand	staf										0
of Energy		1	0	1	7	12	5				1	23	enr		3	3											ring														0
of the Mind		1	0	1	13	20	9				1	23	enr		6	6											ring														0
of Brilliance		1	0	1	21	30	16				1	23	enr		10	10											ring														0
of Sorcery		1	0	1	31	40	23				1	23	enr		15	15											ring														0
of Wizardry		100	0		41		33				1	23	enr		20	20									1	dgld	ring														0
of Energy		1	0	1	4	9	3				1	23	enr		3	3											helm	scep													0
of the Mind		1	0	1	10	15	7				1	23	enr		6	6											helm	scep													0
of Brilliance		1	0	1	16	25	12				1	23	enr		10	10											helm	scep													0
of Sorcery		100	0		26		21				1	23	enr		15	15									1	dgld	helm	scep													0
of Knowledge		100	0	1	9		6				1	23	enr		5	5											jewl														0
of the Bear		1	0	1	8		6				1	24	knock		1	1											mele														0
of Light		1	0	1	6		4				1	25	light		1	1	att		15	15							armo	rod	ring	amul											0
of Radiance		1	0	1	15		11				1	25	light		3	3	att		30	30							rod	miss	ring	amul	helm										0
of the Sun		1	0	1	17		12				1	25	light		5	5	att%		5	5							rod	miss	glov	ring	amul	helm									0
of the Jackal		1	1	1	1	6	1				1	26	hp		5	5											tors	belt	amul	phlm	circ										0
of the Fox		1	1	1	7	14	5				1	26	hp		10	10											tors	belt	amul	phlm	circ										0
of the Wolf		1	1	1	15	19	11				1	26	hp		20	20											tors	belt	amul	phlm	circ										0
of the Tiger		1	1	1	20	24	15				1	26	hp		30	30											tors	belt	amul	phlm	circ										0
of the Mammoth		1	1	1	25	29	18				1	26	hp		40	40									1	cred	tors	belt	amul	phlm	circ										0
of the Colosuss		1	1	1	30	39	22				1	26	hp		60	60									1	cred	tors	belt	amul	phlm	circ										0
of the Squid		100	1		40	49	30				1	26	hp		80	80									1	cred	tors	belt	amul	phlm	circ										0
of the Whale		100	1		50		37				1	26	hp		100	100									1	cred	tors	belt	amul	phlm	circ										0
of the Jackal		100	1	1	4	10	3				1	26	hp		5	5											shld	pelt													0
of the Fox		100	1	1	11	26	8				1	26	hp		10	10											shld	pelt													0
of the Wolf		100	1	1	27	42	20				1	26	hp		20	20											shld	pelt													0
of the Tiger		100	1	1	43	58	35				1	26	hp		30	30											shld	pelt													0
of the Mammoth		100	1	1	59	74	51				1	26	hp		40	40									1	cred	shld	pelt													0
of the Colosuss		100	1		75		67				1	26	hp		60	60									1	cred	shld	pelt													0
of the Jackal		1	1	1	8	16	6				1	26	hp		5	5											club	hamm	mace	ring	helm										0
of the Fox		1	1	1	17	33	13				1	26	hp		10	10											club	hamm	mace	ring	helm										0
of the Wolf		1	1	1	34	50	26				1	26	hp		20	20											club	hamm	mace	ring	helm										0
of the Tiger		1	1	1	51	67	43				1	26	hp		30	30											club	hamm	mace	ring	helm										0
of the Mammoth		1	1	1	68		60				1	26	hp		40	40									1	cred	club	hamm	mace	ring	helm										0
of Life		100	1	1	1	8	1				1	26	hp		10	10											lcha														0
